Symbol,Date,Open,High,Low,Close,Volume
XSP.IDX,01-01-2014,184.84,184.84,184.84,184.84,0
XSP.IDX,02-01-2014,184.59,184.59,182.77,183.2,0
XSP.IDX,03-01-2014,183.32,183.82,182.91,183.14,0
XSP.IDX,06-01-2014,183.23,183.72,182.37,182.68,0
XSP.IDX,07-01-2014,182.87,184.01,182.87,183.79,0
XSP.IDX,08-01-2014,183.79,184,183.14,183.75,0
XSP.IDX,09-01-2014,183.9,184.32,183.04,183.81,0
XSP.IDX,10-01-2014,184.01,184.32,183.24,184.24,0
XSP.IDX,13-01-2014,184.13,184.35,181.55,181.92,0
XSP.IDX,14-01-2014,182.14,183.93,182.14,183.89,0
XSP.IDX,15-01-2014,184.05,185.08,184.05,184.84,0
XSP.IDX,16-01-2014,184.8,184.8,184.03,184.59,0
XSP.IDX,17-01-2014,184.42,184.6,183.52,183.87,0
XSP.IDX,20-01-2014,183.87,183.87,183.87,183.87,0
XSP.IDX,21-01-2014,184.11,184.93,183.24,184.38,0
XSP.IDX,22-01-2014,184.47,184.69,184.09,184.49,0
XSP.IDX,23-01-2014,184.23,184.23,182.01,182.85,0
XSP.IDX,24-01-2014,182.7,182.7,179.03,179.03,0
XSP.IDX,27-01-2014,179.1,179.6,177.29,178.16,0
XSP.IDX,28-01-2014,178.3,179.39,177.95,179.25,0
XSP.IDX,29-01-2014,179.02,179.02,177.1,177.42,0
XSP.IDX,30-01-2014,177.72,179.88,177.72,179.42,0
XSP.IDX,31-01-2014,179.09,179.39,177.23,178.26,0
XSP.IDX,03-02-2014,178.27,178.48,173.97,174.19,0
XSP.IDX,04-02-2014,174.38,175.87,174.38,175.52,0
XSP.IDX,05-02-2014,175.34,175.58,173.79,175.16,0
XSP.IDX,06-02-2014,175.3,177.41,175.3,177.34,0
XSP.IDX,07-02-2014,177.6,179.8,177.6,179.7,0
XSP.IDX,10-02-2014,179.62,179.99,179.18,179.98,0
XSP.IDX,11-02-2014,180.05,182.35,180.04,181.98,0
XSP.IDX,12-02-2014,182.01,182.66,181.6,181.93,0
XSP.IDX,13-02-2014,181.48,183.03,180.92,182.98,0
XSP.IDX,14-02-2014,182.85,184.17,182.56,183.86,0
XSP.IDX,17-02-2014,183.86,183.86,183.86,183.86,0
XSP.IDX,18-02-2014,183.9,184.29,183.5,184.08,0
XSP.IDX,19-02-2014,183.89,184.75,182.7,182.88,0
XSP.IDX,20-02-2014,182.92,184.28,182.46,183.98,0
XSP.IDX,21-02-2014,184.11,184.61,183.56,183.63,0
XSP.IDX,24-02-2014,183.68,185.87,183.68,184.76,0
XSP.IDX,25-02-2014,184.77,185.29,184.02,184.51,0
XSP.IDX,26-02-2014,184.58,185.27,184.07,184.52,0
XSP.IDX,27-02-2014,184.49,185.45,184.11,185.43,0
XSP.IDX,28-02-2014,185.51,186.79,184.77,185.95,0
XSP.IDX,03-03-2014,185.77,185.77,183.44,184.57,0
XSP.IDX,04-03-2014,184.92,187.62,184.92,187.39,0
XSP.IDX,05-03-2014,187.41,187.65,187.11,187.38,0
XSP.IDX,06-03-2014,187.42,188.19,187.42,187.7,0
XSP.IDX,07-03-2014,187.85,188.35,187.06,187.8,0
XSP.IDX,10-03-2014,187.79,187.79,186.7,187.72,0
XSP.IDX,11-03-2014,187.83,188.24,186.39,186.76,0
XSP.IDX,12-03-2014,186.62,186.84,185.45,186.82,0
XSP.IDX,13-03-2014,186.91,187.44,184.19,184.63,0
XSP.IDX,14-03-2014,184.51,185.24,183.96,184.11,0
XSP.IDX,17-03-2014,184.28,186.23,184.28,185.88,0
XSP.IDX,18-03-2014,185.89,187.38,185.89,187.23,0
XSP.IDX,19-03-2014,187.23,187.41,185.07,186.08,0
XSP.IDX,20-03-2014,186.01,187.35,185.46,187.2,0
XSP.IDX,21-03-2014,187.45,188.4,186.35,186.65,0
XSP.IDX,24-03-2014,186.77,187.33,184.97,185.74,0
XSP.IDX,25-03-2014,185.95,187.19,185.6,186.56,0
XSP.IDX,26-03-2014,186.71,187.59,185.26,185.26,0
XSP.IDX,27-03-2014,185.21,185.56,184.21,184.9,0
XSP.IDX,28-03-2014,185.01,186.66,185.01,185.76,0
XSP.IDX,31-03-2014,185.92,187.52,185.92,187.23,0
